x,y,z,Bx,By,Bz
18949.000000,-15053.000000,0.000000,1.374283,-5.029141,-6.815212
-9051.000000,10947.000000,0.000000,16.454741,-37.576313,0.988931
-16051.000000,18947.000000,0.000000,2.822182,-7.250335,-1.903773
-19051.000000,-12053.000000,0.000000,8.029609,9.080175,-2.117984
1949.000000,14947.000000,0.000000,-16.588139,-15.467208,-11.757290
-9051.000000,9947.000000,0.000000,22.418334,-42.818669,3.576067
19949.000000,8947.000000,0.000000,3.797789,5.748651,-9.904299
10949.000000,16947.000000,0.000000,-5.857768,3.477951,-9.069680
18949.000000,6947.000000,0.000000,5.375765,6.503633,-13.290010
-8051.000000,5947.000000,0.000000,66.487409,-72.960720,36.139739
11949.000000,-14053.000000,0.000000,-4.733385,-7.198037,-14.241170
949.000000,5947.000000,0.000000,-80.128535,-150.636001,118.312992
-10051.000000,7947.000000,0.000000,36.221917,-43.957907,7.765461
-8051.000000,-19053.000000,0.000000,-2.644387,9.467878,-4.527882
-9051.000000,-7053.000000,0.000000,64.566960,107.465500,38.901494
-15051.000000,-13053.000000,0.000000,7.775183,14.891419,-2.873218
-19051.000000,8947.000000,0.000000,12.415666,-8.426577,-1.523996
-12051.000000,-16053.000000,0.000000,1.772423,13.646780,-3.823626
-7051.000000,13947.000000,0.000000,2.514926,-28.483446,-3.251698
-10051.000000,8947.000000,0.000000,28.566174,-40.404807,4.591926
-4051.000000,947.000000,0.000000,-72.360800,-3.219251,179.118087
15949.000000,-2053.000000,0.000000,12.714956,-2.446434,-32.301901
-6051.000000,-5053.000000,0.000000,-56.344996,198.577362,311.815601
-1051.000000,2947.000000,0.000000,-22.022633,-24.433029,229.965091
7949.000000,-3053.000000,0.000000,-208.047613,21.837101,-93.559665
14949.000000,11947.000000,0.000000,-1.545360,7.859085,-13.298115
10949.000000,-19053.000000,0.000000,-3.740222,-3.553526,-7.296546
-9051.000000,-18053.000000,0.000000,-1.850869,11.146444,-4.532996
19949.000000,-11053.000000,0.000000,3.784756,-5.438699,-8.927963
949.000000,-20053.000000,0.000000,-6.275981,3.592287,-6.593442
-3051.000000,-17053.000000,0.000000,-7.277748,10.959182,-8.023766
-2051.000000,-2053.000000,0.000000,-2.550140,117.421038,30.579711
-15051.000000,18947.000000,0.000000,2.665048,-7.860868,-2.035193
-2051.000000,18947.000000,0.000000,-6.307708,-10.837493,-5.570484
14949.000000,-14053.000000,0.000000,-0.668391,-7.141371,-11.146422
-13051.000000,-9053.000000,0.000000,24.230860,30.958983,-0.286790
17949.000000,-8053.000000,0.000000,6.221265,-7.101649,-15.288047
5949.000000,15947.000000,0.000000,-12.671306,-2.783298,-11.879890
16949.000000,-19053.000000,0.000000,-0.434481,-4.039468,-5.264374
-15051.000000,13947.000000,0.000000,7.742635,-12.403811,-2.054110
8949.000000,947.000000,0.000000,-122.411859,1.957080,-128.636871
7949.000000,3947.000000,0.000000,-125.696041,-24.594250,-82.089535
-20051.000000,2947.000000,0.000000,17.712419,-3.717582,-1.209070
-13051.000000,-7053.000000,0.000000,39.917489,33.837913,3.742919
-12051.000000,-9053.000000,0.000000,26.038399,38.435213,0.791472
-12051.000000,18947.000000,0.000000,1.758896,-9.762945,-2.512500
-11051.000000,-8053.000000,0.000000,38.954671,54.308795,7.033153
7949.000000,-19053.000000,0.000000,-5.620813,-1.886274,-7.919649
-18051.000000,-3053.000000,0.000000,25.471978,5.640592,-0.615730
9949.000000,14947.000000,0.000000,-8.760075,3.797652,-12.757124
-9051.000000,-9053.000000,0.000000,21.128914,71.340585,6.028747
-19051.000000,3947.000000,0.000000,19.401296,-5.773075,-1.057839
15949.000000,12947.000000,0.000000,-0.827237,6.769502,-10.616277
-4051.000000,-2053.000000,0.000000,-205.961218,78.751676,119.730797
19949.000000,-2053.000000,0.000000,9.647022,-1.147317,-15.022640
3949.000000,-3053.000000,0.000000,-14.554358,123.375796,324.235477
17949.000000,-19053.000000,0.000000,-0.073830,-3.892452,-4.915507
-10051.000000,-10053.000000,0.000000,16.037716,48.304647,-0.444697
-10051.000000,1947.000000,0.000000,111.005878,-52.665633,47.582665
10949.000000,11947.000000,0.000000,-9.758473,7.258816,-19.338600
18949.000000,-12053.000000,0.000000,2.952656,-5.937698,-9.179173
7949.000000,19947.000000,0.000000,-6.066743,0.459333,-6.566108
7949.000000,1947.000000,0.000000,-197.226709,-19.744758,-93.044919
-20051.000000,8947.000000,0.000000,11.185486,-7.160049,-1.534919
11949.000000,1947.000000,0.000000,-5.473476,11.836216,-73.887114
4949.000000,7947.000000,0.000000,-75.388125,-48.755723,-34.534795
