x,y,z,Bx,By,Bz
-20051.0,-20053.0,0.0,1.8040032,4.704296,-1.6858106
-20051.0,-19553.0,0.0,2.0146737,4.9104266,-1.7313493
-20051.0,-19053.0,0.0,2.238328,5.1223187,-1.7709255
-20051.0,-18553.0,0.0,2.474499,5.3404813,-1.803981
-20051.0,-18053.0,0.0,2.7243056,5.562838,-1.8311341
-20051.0,-17553.0,0.0,2.990294,5.785762,-1.8542496
-20051.0,-17053.0,0.0,3.275367,6.005211,-1.8758063
-20051.0,-16553.0,0.0,3.5819945,6.218581,-1.8981179
-20051.0,-16053.0,0.0,3.9113379,6.4254622,-1.9222608
-20051.0,-15553.0,0.0,4.26327,6.6275954,-1.9475067
-20051.0,-15053.0,0.0,4.637339,6.8276067,-1.9715089
-20051.0,-14553.0,0.0,5.0335546,7.027145,-1.9910356
-20051.0,-14053.0,0.0,5.45335,7.225553,-2.0032377
-20051.0,-13553.0,0.0,5.8997316,7.4191957,-2.006708
-20051.0,-13053.0,0.0,6.376616,7.6022754,-2.0019715
-20051.0,-12553.0,0.0,6.8876233,7.7680926,-1.9912143
-20051.0,-12053.0,0.0,7.4346356,7.910701,-1.9774601
-20051.0,-11553.0,0.0,8.017033,8.025954,-1.963456
-20051.0,-11053.0,0.0,8.63148,8.111688,-1.9509792
-20051.0,-10553.0,0.0,9.272508,8.167307,-1.9399586
-20051.0,-10053.0,0.0,9.933436,8.1923275,-1.9286319
-20051.0,-9553.0,0.0,10.607636,8.185528,-1.9140404
-20051.0,-9053.0,0.0,11.289293,8.1440935,-1.8927717
-20051.0,-8553.0,0.0,11.973766,8.063706,-1.8618826
-20051.0,-8053.0,0.0,12.657349,7.939008,-1.8197248
-20051.0,-7553.0,0.0,13.336509,7.764658,-1.7661041
-20051.0,-7053.0,0.0,14.007445,7.536319,-1.7026755
-20051.0,-6553.0,0.0,14.665368,7.25165,-1.6324356
-20051.0,-6053.0,0.0,15.304369,6.9105935,-1.5593818
-20051.0,-5553.0,0.0,15.917227,6.5154276,-1.4875408
-20051.0,-5053.0,0.0,16.496109,6.070292,-1.4205815
-20051.0,-4553.0,0.0,17.032784,5.580342,-1.3611524
-20051.0,-4053.0,0.0,17.519537,5.051154,-1.3105956
-20051.0,-3553.0,0.0,17.949356,4.4878507,-1.2689426
-20051.0,-3053.0,0.0,18.316853,3.8950536,-1.235311
